Meses,Linha,Passageiros
2022-10-01,3_vermelha,22203000
2022-09-01,3_vermelha,21793000
2022-08-01,3_vermelha,22792000
2022-07-01,3_vermelha,20746000
2022-06-01,3_vermelha,20959000
2022-05-01,3_vermelha,22453000
2022-04-01,3_vermelha,20508000
2022-03-01,3_vermelha,21835000
2022-02-01,3_vermelha,17630000
2022-01-01,3_vermelha,16226000
2021-12-01,3_vermelha,19290000
2021-11-01,3_vermelha,19133000
2021-10-01,3_vermelha,18109000
2021-09-01,3_vermelha,17307000
2021-08-01,3_vermelha,16941000
2021-07-01,3_vermelha,15736000
2021-06-01,3_vermelha,15052000
2021-05-01,3_vermelha,14212000
2021-04-01,3_vermelha,11808000
2021-03-01,3_vermelha,12699000
2021-02-01,3_vermelha,14848000
2021-01-01,3_vermelha,14433000
2020-12-01,3_vermelha,16328000
2020-11-01,3_vermelha,16020000
2020-10-01,3_vermelha,15977000
2020-09-01,3_vermelha,14531000
2020-08-01,3_vermelha,13451000
2020-07-01,3_vermelha,12544000
2020-06-01,3_vermelha,9911000
2020-05-01,3_vermelha,7604000
2020-04-01,3_vermelha,6862000
2020-03-01,3_vermelha,2039000
2020-02-01,3_vermelha,26349000
2020-01-01,3_vermelha,26292000
2019-12-01,3_vermelha,33225000
2019-11-01,3_vermelha,35360000
2019-10-01,3_vermelha,38994000
2019-09-01,3_vermelha,36261000
2019-08-01,3_vermelha,37379000
2019-07-01,3_vermelha,34013000
2019-06-01,3_vermelha,32737000
2019-05-01,3_vermelha,38229000
2019-04-01,3_vermelha,36898000
2019-03-01,3_vermelha,36165000
2019-02-01,3_vermelha,33962000
2019-01-01,3_vermelha,31644000
2024-12-01,4_amarela,15264910
2024-11-01,4_amarela,16920610
2024-10-01,4_amarela,18424940
2024-09-01,4_amarela,17031750
2024-08-01,4_amarela,17719190
2024-07-01,4_amarela,16124400
2024-06-01,4_amarela,16436110
2024-05-01,4_amarela,16946690
2024-04-01,4_amarela,17476450
2024-03-01,4_amarela,16704490
2024-02-01,4_amarela,15454080
2024-01-01,4_amarela,14239230
2023-12-01,4_amarela,15339320
2023-11-01,4_amarela,16110490
2023-10-01,4_amarela,16172600
2023-09-01,4_amarela,16572570
2023-08-01,4_amarela,17702890
2023-07-01,4_amarela,15459790
2023-06-01,4_amarela,16029960
2023-05-01,4_amarela,17186230
2023-04-01,4_amarela,15070570
2023-03-01,4_amarela,17370640
2023-02-01,4_amarela,13777190
2023-01-01,4_amarela,13605410
2022-12-01,4_amarela,14236080
2022-11-01,4_amarela,14955050
2022-10-01,4_amarela,15642630
2022-09-01,4_amarela,15427310
2022-08-01,4_amarela,15871080
2022-07-01,4_amarela,14178130
2022-06-01,4_amarela,14239840
2022-05-01,4_amarela,14873240
2022-04-01,4_amarela,13019000
2022-03-01,4_amarela,13697000
2022-02-01,4_amarela,10885000
2022-01-01,4_amarela,9745140
2021-12-01,4_amarela,11566890
2021-11-01,4_amarela,11712120
2021-10-01,4_amarela,10956070
2021-09-01,4_amarela,10502535
2021-08-01,4_amarela,10049000
2021-07-01,4_amarela,9139000
2021-06-01,4_amarela,8721000
2021-05-01,4_amarela,8284000
2021-04-01,4_amarela,6530000
2021-03-01,4_amarela,7060000
2021-02-01,4_amarela,8395000
2021-01-01,4_amarela,8042000
2020-12-01,4_amarela,8785000
2020-11-01,4_amarela,8976000
2020-10-01,4_amarela,8892000
2020-09-01,4_amarela,7980000
2020-08-01,4_amarela,7324000
2020-07-01,4_amarela,6746000
2020-06-01,4_amarela,5278000
2020-05-01,4_amarela,4062000
2020-04-01,4_amarela,3806000
2020-03-01,4_amarela,13139000
2020-02-01,4_amarela,18294000
2020-01-01,4_amarela,17750000
2019-12-01,4_amarela,17788000
2019-11-01,4_amarela,19412000
2019-10-01,4_amarela,21387000
2019-09-01,4_amarela,19888000
2019-08-01,4_amarela,20689000
2019-07-01,4_amarela,18518000
2019-06-01,4_amarela,18030000
2019-05-01,4_amarela,20654000
2019-04-01,4_amarela,19644000
2019-03-01,4_amarela,19278000
2019-02-01,4_amarela,18136000
2019-01-01,4_amarela,16121000
2024-12-01,7_rubi,8525175
2024-11-01,7_rubi,9061979
2024-10-01,7_rubi,9780232
2024-09-01,7_rubi,9176765
2024-08-01,7_rubi,9470514
2024-07-01,7_rubi,9026563
2024-06-01,7_rubi,8884841
2024-05-01,7_rubi,8996900
2024-04-01,7_rubi,9167771
2024-03-01,7_rubi,8912385
2024-02-01,7_rubi,8142671
2024-01-01,7_rubi,7940902
2023-12-01,7_rubi,8640559
2023-11-01,7_rubi,8398665
2023-10-01,7_rubi,8760326
2023-09-01,7_rubi,8820974
2023-08-01,7_rubi,9200179
2023-07-01,7_rubi,8474212
2023-06-01,7_rubi,8451318
2023-05-01,7_rubi,8898978
2023-04-01,7_rubi,8048707
2023-03-01,7_rubi,9088352
2023-02-01,7_rubi,7492097
2023-01-01,7_rubi,7600503
2022-12-01,7_rubi,9781231
2022-11-01,7_rubi,9647522
2022-10-01,7_rubi,9879479
2022-09-01,7_rubi,9541990
2022-08-01,7_rubi,10425593
2022-07-01,7_rubi,9763631
2022-06-01,7_rubi,9680649
2022-05-01,7_rubi,8577446
2022-04-01,7_rubi,9294100
2022-03-01,7_rubi,9690135
2022-02-01,7_rubi,8280054
2022-01-01,7_rubi,6157849
2021-12-01,7_rubi,7001267
2021-11-01,7_rubi,6896112
2021-10-01,7_rubi,6607976
2021-09-01,7_rubi,6442920
2021-08-01,7_rubi,6394919
2021-07-01,7_rubi,5968243
2021-06-01,7_rubi,5793092
2021-05-01,7_rubi,5594153
2021-04-01,7_rubi,4522737
2021-03-01,7_rubi,4749732
2021-02-01,7_rubi,5373903
2021-01-01,7_rubi,5284213
2020-12-01,7_rubi,5937038
2020-11-01,7_rubi,5806806
2020-10-01,7_rubi,5819976
2020-09-01,7_rubi,5369459
2020-08-01,7_rubi,5069448
2020-07-01,7_rubi,4498761
2020-06-01,7_rubi,3601546
2020-05-01,7_rubi,2782261
2020-04-01,7_rubi,2504698
2020-03-01,7_rubi,6195596
2020-02-01,7_rubi,7697653
2020-01-01,7_rubi,7811567
2019-12-01,7_rubi,8063762
2019-11-01,7_rubi,8437778
2019-10-01,7_rubi,9121853
2019-09-01,7_rubi,8439231
2019-08-01,7_rubi,8726724
2019-07-01,7_rubi,8086095
2019-06-01,7_rubi,7797566
2019-05-01,7_rubi,8796640
2019-04-01,7_rubi,8387808
2019-03-01,7_rubi,8181620
2019-02-01,7_rubi,7600502
2019-01-01,7_rubi,7436622
2024-12-01,10_turquesa,7793395
2024-11-01,10_turquesa,8242112
2024-10-01,10_turquesa,8901786
2024-09-01,10_turquesa,8238655
2024-08-01,10_turquesa,8570680
2024-07-01,10_turquesa,8078825
2024-06-01,10_turquesa,8011353
2024-05-01,10_turquesa,8129058
2024-04-01,10_turquesa,8384226
2024-03-01,10_turquesa,7970587
2024-02-01,10_turquesa,7378403
2024-01-01,10_turquesa,6927172
2023-12-01,10_turquesa,7719032
2023-11-01,10_turquesa,7469868
2023-10-01,10_turquesa,7658077
2023-09-01,10_turquesa,7775905
2023-08-01,10_turquesa,8399239
2023-07-01,10_turquesa,7596883
2023-06-01,10_turquesa,7715077
2023-05-01,10_turquesa,8129502
2023-04-01,10_turquesa,7197654
2023-03-01,10_turquesa,8080157
2023-02-01,10_turquesa,6648848
2023-01-01,10_turquesa,6168330
2022-12-01,10_turquesa,6962952
2022-11-01,10_turquesa,7228247
2022-10-01,10_turquesa,7349847
2022-09-01,10_turquesa,7286223
2022-08-01,10_turquesa,7716683
2022-07-01,10_turquesa,6944686
2022-06-01,10_turquesa,7118784
2022-05-01,10_turquesa,7654066
2022-04-01,10_turquesa,6822943
2022-03-01,10_turquesa,7174705
2022-02-01,10_turquesa,6026937
2022-01-01,10_turquesa,5605245
2021-12-01,10_turquesa,6695566
2021-11-01,10_turquesa,6487460
2021-10-01,10_turquesa,6274725
2021-09-01,10_turquesa,6052998
2021-08-01,10_turquesa,5962540
2021-07-01,10_turquesa,5481325
2021-06-01,10_turquesa,5392997
2021-05-01,10_turquesa,4993330
2021-04-01,10_turquesa,4065432
2021-03-01,10_turquesa,4248469
2021-02-01,10_turquesa,4649998
2021-01-01,10_turquesa,4619942
2020-12-01,10_turquesa,5383222
2020-11-01,10_turquesa,5152067
2020-10-01,10_turquesa,5175005
2020-09-01,10_turquesa,4804594
2020-08-01,10_turquesa,4554621
2020-07-01,10_turquesa,4246557
2020-06-01,10_turquesa,3350466
2020-05-01,10_turquesa,2529092
2020-04-01,10_turquesa,2211819
2020-03-01,10_turquesa,6015849
2020-02-01,10_turquesa,7755027
2020-01-01,10_turquesa,7810999
2019-12-01,10_turquesa,8273985
2019-11-01,10_turquesa,8512017
2019-10-01,10_turquesa,9280226
2019-09-01,10_turquesa,8376491
2019-08-01,10_turquesa,8614759
2019-07-01,10_turquesa,7927912
2019-06-01,10_turquesa,7569431
2019-05-01,10_turquesa,8656002
2019-04-01,10_turquesa,8421626
2019-03-01,10_turquesa,7818930
2019-02-01,10_turquesa,7655817
2019-01-01,10_turquesa,7373218
2024-12-01,11_coral,11812727
2024-11-01,11_coral,12373776
2024-10-01,11_coral,13133829
2024-09-01,11_coral,12303221
2024-08-01,11_coral,12724355
2024-07-01,11_coral,12115392
2024-06-01,11_coral,11967181
2024-05-01,11_coral,12090311
2024-04-01,11_coral,12115224
2024-03-01,11_coral,11649292
2024-02-01,11_coral,10985093
2024-01-01,11_coral,10823086
2023-12-01,11_coral,11860128
2023-11-01,11_coral,11391356
2023-10-01,11_coral,11717118
2023-09-01,11_coral,11840591
2023-08-01,11_coral,12680809
2023-07-01,11_coral,11626840
2023-06-01,11_coral,11676216
2023-05-01,11_coral,12288872
2023-04-01,11_coral,10876707
2023-03-01,11_coral,12507250
2023-02-01,11_coral,10036107
2023-01-01,11_coral,9863434
2022-12-01,11_coral,11110680
2022-11-01,11_coral,11148088
2022-10-01,11_coral,11285249
2022-09-01,11_coral,11026178
2022-08-01,11_coral,11758099
2022-07-01,11_coral,10951838
2022-06-01,11_coral,11036172
2022-05-01,11_coral,11624641
2022-04-01,11_coral,10453525
2022-03-01,11_coral,10831905
2022-02-01,11_coral,9537849
2022-01-01,11_coral,9064614
2021-12-01,11_coral,10850840
2021-11-01,11_coral,10565271
2021-10-01,11_coral,10228087
2021-09-01,11_coral,9874046
2021-08-01,11_coral,9819738
